"P35_001,N,19,11","P35_002,N,19,11","P35_003,C,254","P35_004,C,254","P35_005,C,254","P35_006,C,254","P35_007,C,254","P35_008,C,254","P35_009,C,254","P35_010,C,254","P35_011,N,19,11","P35_012,N,19,11","P35_013,N,19,11","P35_014,N,19,11","P35_015,N,19,11","P35_016,N,19,11","P35_017,N,19,11","P35_018,N,19,11","P35_019,N,19,11","P35_020,N,19,11","P35_021,N,19,11","P35_022,N,19,11","P35_023,N,19,11","P35_024,N,19,11","P35_025,N,19,11","P35_026,N,19,11","P35_027,N,19,11","P35_028,N,19,11"
42.212366,139.876681,北海道,久遠郡せたな町,01371,てっくいランド大成,https://www.michi-no-eki.jp/stations/view/21,http://www.hokkaido-michinoeki.jp/michinoeki/611/,http://www.hiyama.pref.hokkaido.lg.jp/ss/srk/tabi/04s_tais/parts/8401mtr.htm,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1
44.3283409,143.3750043,北海道,紋別市,01219,オホーツク紋別,https://www.michi-no-eki.jp/stations/view/22,http://www.hokkaido-michinoeki.jp/michinoeki/626/,http://mombetsu.net/tourist-facilities/%E9%81%93%E3%81%AE%E9%A7%85-%E3%82%AA%E3%83%9B%E3%83%BC%E3%83,,2,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,1,1
42.098901,140.568716,北海道,茅部郡森町,01345,YOU･遊･もり,https://www.michi-no-eki.jp/stations/view/23,http://www.hokkaido-michinoeki.jp/michinoeki/641/,http://mori-bussan.com/info/home.html,,2,1,1,1,2,2,2,1,1,2,2,2,1,2,2,1,1,1
43.7546445,143.5005308,北海道,北見市,01208,おんねゆ温泉,https://www.michi-no-eki.jp/stations/view/24,http://www.hokkaido-michinoeki.jp/michinoeki/685/,http://onneyu-aq.com/facility3,,2,1,2,2,2,2,2,1,2,1,2,1,1,2,1,1,1,1
42.0113971,140.1062194,北海道,爾志郡乙部町,01364,ルート229元和台,https://www.michi-no-eki.jp/stations/view/25,http://www.hokkaido-michinoeki.jp/michinoeki/704/,http://www.town.otobe.lg.jp/section/sangyou/e0taal0000000bz1.html,,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1
43.4332722,141.8888016,北海道,空知郡奈井江町,01424,ハウスヤルビ奈井江,https://www.michi-no-eki.jp/stations/view/26,http://www.hokkaido-michinoeki.jp/michinoeki/722/,http://machiken292.com/,,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1
44.137022,141.654956,北海道,留萌郡小平町,01482,おびら鰊番屋,https://www.michi-no-eki.jp/stations/view/27,http://www.hokkaido-michinoeki.jp/michinoeki/744/,http://www.town.obira.hokkaido.jp/kanko/detail/00001365.html,,2,1,1,2,2,2,2,1,2,1,2,1,1,2,2,1,1,1
44.8783757,142.631813,北海道,枝幸郡枝幸町,01514,マリーンアイランド岡島,https://www.michi-no-eki.jp/stations/view/28,http://www.hokkaido-michinoeki.jp/michinoeki/768/,,,2,2,1,2,2,2,1,1,1,2,2,2,1,2,2,1,1,1
44.469498,143.116955,北海道,紋別郡興部町,01561,おこっぺ,https://www.michi-no-eki.jp/stations/view/29,http://www.hokkaido-michinoeki.jp/michinoeki/795/,,,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1
43.1440197,144.1469574,北海道,釧路市,01206,阿寒丹頂の里,https://www.michi-no-eki.jp/stations/view/30,http://www.hokkaido-michinoeki.jp/michinoeki/810/,https://www.akan.jp/,,2,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1
42.976584,143.207419,北海道,河東郡音更町,01631,おとふけ,https://www.michi-no-eki.jp/stations/view/31,http://www.hokkaido-michinoeki.jp/michinoeki/825/,http://www.otofukebk.com/,,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1
44.8774622,142.2134021,北海道,枝幸郡中頓別町,01513,ピンネシリ,https://www.michi-no-eki.jp/stations/view/32,http://www.hokkaido-michinoeki.jp/michinoeki/842/,http://pinneshiri-autocamp.com/index.html,,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,1
42.6980639,141.1303673,北海道,伊達市,01233,フォーレスト276大滝,https://www.michi-no-eki.jp/stations/view/33,http://www.hokkaido-michinoeki.jp/michinoeki/859/,,,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
41.8084965,140.0949663,北海道,檜山郡上ノ国町,01362,上ノ国もんじゅ,https://www.michi-no-eki.jp/stations/view/34,http://www.hokkaido-michinoeki.jp/michinoeki/870/,http://www.kaminokuni.com/,,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,1,1,1
43.1653589,140.3855694,北海道,古宇郡神恵内村,01404,オスコイ！かもえない,https://www.michi-no-eki.jp/stations/view/35,http://www.hokkaido-michinoeki.jp/michinoeki/881/,http://www.vill.kamoenai.hokkaido.jp/hotnews/detail/00000142.html,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
42.69214,143.126839,北海道,河西郡中札内村,01638,なかさつない,https://www.michi-no-eki.jp/stations/view/36,http://www.hokkaido-michinoeki.jp/michinoeki/892/,http://www.michinoeki-nakasatsunai.jp/index.html,,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1
42.94998,141.716616,北海道,夕張郡長沼町,01428,マオイの丘公園,https://www.michi-no-eki.jp/stations/view/37,http://www.hokkaido-michinoeki.jp/michinoeki/906/,http://www.nitto-sougyou.co.jp/naganuma/maoikouen.htm,,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,1
42.8767898,142.4420074,北海道,沙流郡日高町,01601,樹海ロード日高,https://www.michi-no-eki.jp/stations/view/38,http://www.hokkaido-michinoeki.jp/michinoeki/921/,http://www.hidaka.pref.hokkaido.lg.jp/ss/srk/hkd/thidaka/008.htm,,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1
42.559133,140.8990485,北海道,有珠郡壮瞥町,01575,そうべつ情報館ｉ（アイ）,https://www.michi-no-eki.jp/stations/view/39,http://www.hokkaido-michinoeki.jp/michinoeki/937/,http://sobetsu-fp.co.jp/,,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2,1,1,1
42.7994921,140.7023947,北海道,虻田郡ニセコ町,01395,ニセコビュープラザ,https://www.michi-no-eki.jp/stations/view/40,http://www.hokkaido-michinoeki.jp/michinoeki/949/,http://www.niseko-ta.jp/index.php?id=87,,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1
41.6012589,140.3358339,北海道,上磯郡知内町,01333,しりうち,https://www.michi-no-eki.jp/stations/view/41,http://www.hokkaido-michinoeki.jp/michinoeki/961/,http://www.town.shiriuchi.hokkaido.jp/kanko/meisho/michinoeki.html,,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
41.479134,140.255731,北海道,松前郡福島町,01332,横綱の里ふくしま,https://www.michi-no-eki.jp/stations/view/42,http://www.hokkaido-michinoeki.jp/michinoeki/973/,http://www.yokodunanosato-fukushima.info/,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1
42.3598362,142.3156908,北海道,新冠郡新冠町,01604,サラブレッドロード新冠,https://www.michi-no-eki.jp/stations/view/43,http://www.hokkaido-michinoeki.jp/michinoeki/988/,http://www.niikappu.jp/kurashi/sekatsu/kotsu/miti.html,,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,1,1,1
43.1443124354,143.239275611,北海道,河東郡士幌町,01632,ピア21しほろ,https://www.michi-no-eki.jp/stations/view/44,http://www.hokkaido-michinoeki.jp/michinoeki/1001/,http://shihoroinfo.com/road-station,,2,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,1,1
44.19689,143.090986,北海道,紋別郡滝上町,01560,香りの里たきのうえ,https://www.michi-no-eki.jp/stations/view/45,http://www.hokkaido-michinoeki.jp/michinoeki/1016/,http://town.takinoue.hokkaido.jp/shokai/shisetsu/kankou/michinoeki.html,,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1
43.6625089,141.8940224,北海道,雨竜郡雨竜町,01436,田園の里うりゅう,https://www.michi-no-eki.jp/stations/view/46,http://www.hokkaido-michinoeki.jp/michinoeki/1026/,http://www.michinoeki-uryu.com/,,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1
